1,1,1,54,233
2,2,3,2,345
3,3,1,12,1234
4,4,23,1,561
5,5,5,3,432
6,6,12,1,654
7,7,17,2,789
8,8,8,1,987
9,9,9,4,876
10,10,2,1,543
11,11,14,2,345
12,12,6,3,678
13,13,11,1,987
14,14,20,4,567
15,15,15,1,234
16,16,16,2,456
17,17,7,3,789
18,18,21,1,654
19,19,19,2,987
20,20,10,4,543
21,21,13,1,321
22,22,18,2,654
23,23,4,3,987
24,24,22,1,210
25,25,25,2,543
26,26,24,4,876
27,27,26,1,654
28,28,28,2,987
29,29,29,3,543
30,30,30,1,876
31,31,27,2,543
32,32,32,3,876
33,33,33,1,987
34,34,34,2,543
35,35,35,4,876
36,36,36,1,543
37,37,37,2,876
38,38,38,3,987
39,39,39,1,543
40,40,40,2,876
41,41,41,4,987
42,42,42,1,543
43,43,43,2,876
44,44,44,3,987
45,45,45,1,543
46,46,46,2,876
47,47,47,4,987
48,48,48,1,543
49,49,49,2,876
50,50,50,3,987
51,51,51,1,543
52,52,52,2,876
53,53,53,4,987
54,54,54,1,543
55,55,55,2,876
56,56,56,3,987
57,57,57,1,543
58,58,58,2,876
59,59,59,4,987
60,60,60,1,543
61,61,61,2,876
62,62,62,3,987
63,63,63,1,543
64,64,64,2,876
65,65,65,4,987
66,66,66,1,543
67,67,67,2,876
68,68,68,3,987
69,69,69,1,543
70,70,70,2,876
71,71,71,4,987
72,72,72,1,543
73,73,73,2,876
74,74,74,3,987
75,75,75,1,543
76,76,76,2,876
77,77,77,4,987
78,78,78,1,543
79,79,79,2,876
80,80,80,3,987
81,81,81,1,543
82,82,82,2,876
83,83,83,4,987
84,84,84,1,543
85,85,85,2,876
86,86,86,3,987
87,87,87,1,543
88,88,88,2,876
89,89,89,4,987
90,90,90,1,543
91,91,91,2,876
92,92,92,3,987
93,93,93,1,543
94,94,94,2,876
95,95,95,4,987
96,96,96,1,543
97,97,97,2,876
98,98,98,3,987
99,99,99,1,543
100,100,100,2,876
